   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 18/03/13
  -6.55057  -6.55065  -6.55012  -6.54929  -6.54899  -6.54918  -6.54875  -6.54755
  -6.54767  -6.54824  -6.54759  -6.54521  -6.54268  -6.53865  -6.52905  -6.51148
  -6.47938  -6.42509  -6.34646  -6.25324  -6.15550  -6.05522  -5.95317  -5.84970
  -6.56329  -6.56327  -6.56314  -6.56263  -6.56177  -6.56175  -6.56135  -6.56011
  -6.56092  -6.56311  -6.56382  -6.56090  -6.55853  -6.55542  -6.54583  -6.53052
  -6.50183  -6.44973  -6.37394  -6.28134  -6.18001  -6.07492  -5.96783  -5.85913
  -6.57718  -6.57706  -6.57731  -6.57713  -6.57570  -6.57547  -6.57512  -6.57383
  -6.57530  -6.57906  -6.58113  -6.57766  -6.57546  -6.57328  -6.56374  -6.55067
  -6.52536  -6.47548  -6.40248  -6.31048  -6.20561  -6.09576  -5.98366  -5.86976
  -6.59181  -6.59159  -6.59223  -6.59235  -6.59038  -6.58994  -6.58963  -6.58831
  -6.59039  -6.59569  -6.59910  -6.59510  -6.59307  -6.59185  -6.58238  -6.57153
  -6.54958  -6.50191  -6.43169  -6.34028  -6.23191  -6.11735  -6.00028  -5.88120
  -6.60690  -6.60658  -6.60760  -6.60803  -6.60552  -6.60487  -6.60461  -6.60325
  -6.60591  -6.61271  -6.61745  -6.61292  -6.61107  -6.61082  -6.60145  -6.59282
  -6.57421  -6.52876  -6.46129  -6.37045  -6.25863  -6.13941  -6.01741  -5.89320
  -6.62226  -6.62185  -6.62323  -6.62396  -6.62093  -6.62007  -6.61986  -6.61847
  -6.62167  -6.62992  -6.63597  -6.63093  -6.62926  -6.63001  -6.62078  -6.61435
  -6.59904  -6.55584  -6.49109  -6.40080  -6.28559  -6.16176  -6.03487  -5.90556
  -6.63775  -6.63725  -6.63899  -6.64002  -6.63647  -6.63541  -6.63525  -6.63383
  -6.63754  -6.64718  -6.65455  -6.64898  -6.64752  -6.64927  -6.64022  -6.63597
  -6.62395  -6.58301  -6.52096  -6.43121  -6.31264  -6.18426  -6.05253  -5.91816
  -6.65329  -6.65270  -6.65479  -6.65610  -6.65206  -6.65080  -6.65069  -6.64923
  -6.65341  -6.66441  -6.67307  -6.66700  -6.66574  -6.66853  -6.65968  -6.65761
  -6.64885  -6.61018  -6.55081  -6.46157  -6.33971  -6.20682  -6.07030  -5.93092
  -6.66881  -6.66813  -6.67056  -6.67216  -6.66762  -6.66618  -6.66611  -6.66463
  -6.66923  -6.68154  -6.69148  -6.68491  -6.68385  -6.68771  -6.67911  -6.67919
  -6.67366  -6.63729  -6.58058  -6.49183  -6.36671  -6.22938  -6.08810  -5.94377
  -6.68426  -6.68350  -6.68626  -6.68813  -6.68312  -6.68149  -6.68147  -6.67996
  -6.68495  -6.69852  -6.70973  -6.70265  -6.70183  -6.70677  -6.69844  -6.70066
  -6.69835  -6.66429  -6.61022  -6.52194  -6.39361  -6.25187  -6.10589  -5.95666
  -6.69962  -6.69877  -6.70186  -6.70400  -6.69853  -6.69670  -6.69675  -6.69521
  -6.70054  -6.71531  -6.72777  -6.72021  -6.71962  -6.72566  -6.71766  -6.72201
  -6.72287  -6.69115  -6.63969  -6.55185  -6.42035  -6.27426  -6.12363  -5.96956
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 2   / DATE= 18/03/13
 -41.89605 -41.57448 -41.23971 -40.89913 -40.55608 -40.21290 -39.87278 -39.54008
 -39.21956 -38.91564 -38.63181 -38.36928 -38.12600 -37.89702 -37.67415 -37.44608
 -37.20047 -36.92851 -36.63726 -36.34669 -36.08270 -35.85839 -35.66190 -35.46806
 -31.46996 -31.45133 -31.41232 -31.33598 -31.20356 -31.00495 -30.74893 -30.45910
 -30.15660 -29.85720 -29.57172 -29.30332 -29.05251 -28.81705 -28.58946 -28.35881
 -28.11318 -27.84372 -27.55559 -27.26676 -27.00278 -26.78010 -26.59124 -26.41431
 -23.76838 -23.76769 -23.76617 -23.76284 -23.75565 -23.74025 -23.70830 -23.64650
 -23.53992 -23.38208 -23.18177 -22.95820 -22.72842 -22.50090 -22.27493 -22.04322
 -21.79671 -21.52935 -21.24411 -20.95682 -20.69301 -20.47063 -20.28701 -20.12464
 -18.52305 -18.52300 -18.52287 -18.52258 -18.52191 -18.52035 -18.51689 -18.50943
 -18.49422 -18.46590 -18.41705 -18.33880 -18.22698 -18.08397 -17.91412 -17.71927
 -17.49680 -17.24257 -16.96555 -16.68620 -16.43081 -16.21978 -16.05201 -15.91034
 -14.92628 -14.92626 -14.92622 -14.92614 -14.92592 -14.92539 -14.92404 -14.92088
 -14.91466 -14.90367 -14.88561 -14.85713 -14.81272 -14.74608 -14.65053 -14.51980
 -14.34894 -14.13669 -13.89254 -13.64064 -13.41313 -13.23303 -13.10011 -12.99701
 -12.42662 -12.42668 -12.42674 -12.42677 -12.42671 -12.42640 -12.42546 -12.42311
 -12.41853 -12.41026 -12.39720 -12.37901 -12.35191 -12.30982 -12.24528 -12.15027
 -12.01854 -11.84885 -11.64985 -11.44348 -11.25908 -11.11859 -11.02175 -10.95268
 -10.70686 -10.70683 -10.70683 -10.70689 -10.70705 -10.70732 -10.70756 -10.70714
 -10.70480 -10.69927 -10.68990 -10.67600 -10.65524 -10.62316 -10.57334 -10.49859
 -10.39354 -10.25868 -10.10089  -9.93815  -9.79578  -9.68958  -9.61734  -9.56521
  -9.55026  -9.55034  -9.55045  -9.55063  -9.55103  -9.55141  -9.55189  -9.55279
  -9.55283  -9.55021  -9.54381  -9.53339  -9.51724  -9.49178  -9.45172  -9.39096
  -9.30565  -9.19910  -9.07540  -8.94768  -8.83765  -8.75469  -8.69346  -8.64181
  -8.76395  -8.76398  -8.76405  -8.76424  -8.76470  -8.76538  -8.76654  -8.76851
  -8.77038  -8.77047  -8.76706  -8.75884  -8.74553  -8.72550  -8.69380  -8.64564
