   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 15/03/13
 -12.68880 -12.73743 -12.78945 -12.84346 -12.89863 -12.95636 -13.01912 -13.08750
 -13.15809 -13.22952 -13.30173 -13.37371 -13.43861 -13.49197 -13.53385 -13.56677
 -13.60747 -13.65645 -13.68613 -13.85921 -13.95965 -13.61930 -13.27052 -12.92133
 -12.94096 -12.98958 -13.04159 -13.09558 -13.15071 -13.20835 -13.27097 -13.33912
 -13.40944 -13.48064 -13.55269 -13.62456 -13.68935 -13.74258 -13.78426 -13.81689
 -13.85724 -13.90595 -13.93552 -14.10864 -14.20918 -13.86898 -13.52043 -13.17151
 -13.19311 -13.24173 -13.29373 -13.34771 -13.40280 -13.46038 -13.52286 -13.59082
 -13.66092 -13.73192 -13.80382 -13.87560 -13.94031 -13.99343 -14.03495 -14.06733
 -14.10739 -14.15587 -14.18534 -14.35851 -14.45916 -14.11905 -13.77066 -13.42199
 -13.44527 -13.49388 -13.54588 -13.59984 -13.65491 -13.71243 -13.77481 -13.84261
 -13.91251 -13.98333 -14.05510 -14.12680 -14.19144 -14.24448 -14.28587 -14.31805
 -14.35788 -14.40618 -14.43556 -14.60874 -14.70946 -14.36945 -14.02120 -13.67272
 -13.69742 -13.74604 -13.79803 -13.85198 -13.90702 -13.96449 -14.02678 -14.09446
 -14.16420 -14.23484 -14.30651 -14.37813 -14.44271 -14.49568 -14.53697 -14.56898
 -14.60861 -14.65676 -14.68607 -14.85925 -14.96002 -14.62009 -14.27197 -13.92364
 -13.94958 -13.99819 -14.05018 -14.10412 -14.15914 -14.21657 -14.27879 -14.34636
 -14.41596 -14.48645 -14.55802 -14.62958 -14.69410 -14.74701 -14.78821 -14.82008
